index,Show_ID,Date_Added,Country,Director,Duration,Listed_In,Rating,Release_Year,Title,Type,Budget,Sales,Profit,Continent,Profitable?
1426,1013,2021-09-07,Pakistan,Not Given,2 Seasons,Kids' TV,TV-Y7,2019,Tobot Galaxy Detectives,TV Show,4370448,6038942,1668494,Asia,Yes
4916,1014,2021-04-20,Not Given,"Akshay Sanjeev Chavan, Sumit Das",87 min,Children & Family Movies,TV-Y7,2020,Rudra: Secret of the Black Moon,Movie,2751607,2370195,-381412,Unknown,No
7440,1015,2021-04-20,Pakistan,Not Given,91 min,Children & Family Movies,TV-Y7,2019,Rudra: The Rise of King Pharaoh,Movie,1541656,5764872,4223216,Asia,Yes
6494,1016,2021-04-19,United States,Not Given,76 min,Documentaries,TV-14,2014,Free to Play,Movie,2021656,3948053,1926397,North America,Yes
7857,1017,2021-04-19,Mexico,Not Given,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,2021,Luis Miguel - The Series,TV Show,1288572,1368856,80284,North America,Yes
6987,1018,2021-04-19,France,John Madden,132 min,Thrillers,R,2016,Miss Sloane,Movie,1793809,4297760,2503951,Europe,Yes
4808,1019,2021-04-19,France,Not Given,3 Seasons,Kids' TV,TV-Y,2019,PJ Masks,TV Show,2798005,947522,-1850483,Europe,No
919,1020,2021-04-17,United States,Edward James Olmos,126 min,Dramas,R,1992,American Me,Movie,4685837,4473436,-212401,North America,No
6520,1021,2021-04-17,India,Abhinay Deo,101 min,"Action & Adventure, Comedies, International Movies",TV-MA,2011,Delhi Belly,Movie,2010409,3449056,1438647,Asia,Yes
4137,1022,2021-04-17,India,Kiran Rao,102 min,"Dramas, International Movies",TV-MA,2010,Dhobi Ghat (Mumbai Diaries),Movie,3110470,3460864,350394,Asia,Yes
7954,1023,2021-04-17,India,Abbas Tyrewala,147 min,"Comedies, International Movies, Music & Musicals",TV-14,2008,Jaane Tu... Ya Jaane Na,Movie,1214176,4073144,2858968,Asia,Yes
3518,1024,2021-09-07,United States,"Chapman Way, Maclain Way",80 min,"Documentaries, Sports Movies",TV-MA,2021,Untold: Breaking Point,Movie,3389349,5820795,2431446,North America,Yes
277,1025,2021-04-17,India,Ashutosh Gowariker,224 min,"Dramas, International Movies, Music & Musicals",PG,2001,Lagaan,Movie,5265221,4846314,-418907,Asia,No
8504,1026,2021-04-17,India,Satyajit Bhatkal,141 min,"Documentaries, International Movies",TV-14,2004,Madness in the Desert,Movie,697742,4106487,3408745,Asia,Yes
5416,1027,2021-04-17,India,"Anusha Rizvi, Mahmood Farooqui",109 min,"Comedies, Dramas, Independent Movies",TV-MA,2010,Peepli Live,Movie,2523959,3459952,935993,Asia,Yes
6249,1028,2021-04-17,India,Aamir Khan,162 min,"Dramas, International Movies",PG,2007,Taare Zameen Par,Movie,2137397,4820186,2682789,Asia,Yes
4952,1029,2021-04-16,India,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani",142 min,"Dramas, Independent Movies, International Movies",TV-MA,2021,Ajeeb Daastaans,Movie,2734462,2691771,-42691,Asia,No
5117,1030,2021-04-16,United States,Ryan Crego,93 min,"Children & Family Movies, Comedies, Music & Musicals",TV-Y7,2021,Arlo the Alligator Boy,Movie,2666310,2368254,-298056,North America,No
8710,1031,2021-04-16,Pakistan,Not Given,1 Season,"Anime Series, Kids' TV",TV-Y7,2021,Bakugan: Geogan Rising,TV Show,385083,5760535,5375452,Asia,Yes
3515,1032,2021-04-16,United States,Cassi Simonds,60 min,Children & Family Movies,TV-Y,2021,Barbie & Chelsea: The Lost Birthday,Movie,3390059,2411567,-978492,North America,No
97,1033,2021-04-16,Canada,Guillermo del Toro,119 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",R,2015,Crimson Peak,Movie,5552195,4326328,-1225867,North America,No
55,1034,2021-04-16,Pakistan,Not Given,37 min,Comedies,TV-14,2021,Dad Stop Embarrassing Me - The Afterparty,Movie,5637926,5753637,115711,Asia,Yes
7326,1035,2021-09-06,Not Given,Jason Hehir,1 Season,"Docuseries, Science & Nature TV",TV-14,2021,Countdown: Inspiration4 Mission to Space,TV Show,1606222,5786967,4180745,Unknown,Yes
7189,1036,2021-04-16,United States,Tony Abulu,96 min,"Dramas, International Movies",TV-MA,2013,Doctor Bello,Movie,1683149,3411885,1728736,North America,Yes
6983,1037,2021-04-16,Philippines,Mae Czarina Cruz,116 min,"Children & Family Movies, Comedies, Dramas",TV-MA,2020,Four Sisters Before the Wedding,Movie,1795776,2744749,948973,Asia,Yes
8127,1038,2021-04-16,Germany,Stefan Westerwelle,102 min,"Dramas, International Movies, Romantic Movies",TV-14,2020,Into the Beat,Movie,1081633,3614667,2533034,Europe,Yes
2239,1039,2021-04-16,South Korea,Not Given,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows",TV-14,2021,Love Naggers,TV Show,3953491,2091990,-1861501,Asia,No
4746,1040,2021-04-16,United Kingdom,Ron Howard,123 min,"Action & Adventure, Dramas, International Movies",R,2013,Rush,Movie,2827527,4360133,1532606,Europe,Yes
4539,1041,2021-04-16,United States,"Justin Benson, Aaron Moorhead",102 min,Thrillers,R,2020,Synchronic,Movie,2923213,4194545,1271332,North America,Yes
5211,1042,2021-04-16,Czech Republic,Niki Caro,127 min,Dramas,PG-13,2017,The Zookeeper's Wife,Movie,2621712,4543463,1921751,Europe,Yes
4313,1043,2021-04-16,United States,"Mark Dennis, Ben Foster",88 min,"Action & Adventure, Sci-Fi & Fantasy",TV-14,2017,Time Trap,Movie,3026385,3772561,746176,North America,Yes
6818,1044,2021-04-16,India,Taranveer Singh,106 min,"Comedies, Dramas, International Movies",TV-14,2021,Tuesdays & Fridays,Movie,1883032,3580822,1697790,Asia,Yes
5057,1045,2021-04-15,Pakistan,Not Given,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-PG,2016,Dancing Angels,TV Show,2690979,5752731,3061752,Asia,Yes
3223,1046,2021-09-06,Not Given,Yemi Amodu,117 min,"Dramas, International Movies, Thrillers",TV-MA,2020,Shadow Parties,Movie,3513824,5786015,2272191,Unknown,Yes
3051,1047,2021-04-15,United States,TT The Artist,65 min,"Documentaries, Music & Musicals",TV-MA,2020,Dark City Beneath the Beat,Movie,3591996,2708054,-883942,North America,No
8691,1048,2021-04-15,Japan,Not Given,1 Season,"Anime Series, Crime TV Shows, International TV Shows",TV-MA,2016,Durarara!!,TV Show,429162,1933283,1504121,Asia,Yes
2223,1049,2021-04-15,Japan,"Keiichi Sato, Yasushi Kawamura",96 min,"Action & Adventure, Anime Features, Horror Movies",TV-MA,2016,GANTZ:O,Movie,3961623,3284088,-677535,Asia,No
4438,1050,2021-04-15,United States,Glenn Weiss,1 Season,Docuseries,TV-PG,2019,Garth Brooks: The Road I’m On,TV Show,2970356,1126679,-1843677,North America,No
6541,1051,2021-04-15,United States,Not Given,7 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",TV-14,2006,Gilmore Girls,TV Show,2001979,2347599,345620,North America,Yes
1618,1052,2021-04-15,Japan,Not Given,1 Season,"Anime Series, International TV Shows, TV Thrillers",TV-MA,2021,High-Rise Invasion,TV Show,4265693,1375327,-2890366,Asia,No
1937,1053,2021-04-15,United States,Not Given,1 Season,Reality TV,TV-14,2020,Next in Fashion,TV Show,4095671,2112075,-1983596,North America,No
3966,1054,2021-04-15,United States,Michael Civille,88 min,Thrillers,TV-14,2019,Only Mine,Movie,3186992,3629197,442205,North America,Yes
5207,1055,2021-04-15,Lebanon,Not Given,1 Season,"International TV Shows, TV Dramas",TV-14,2018,Peasants Rebellion,TV Show,2624288,2192777,-431511,Asia,No
5040,1056,2021-04-15,United States,Not Given,3 Seasons,Kids' TV,TV-Y,2020,Power Players,TV Show,2699401,901543,-1797858,North America,No
7320,1057,2021-09-06,South Korea,Not Given,2 Seasons,"Kids' TV, Korean TV Shows",TV-Y,2016,Tayo the Little Bus,TV Show,1610775,1010534,-600241,Asia,No
2077,1058,2021-04-15,China,Not Given,1 Season,"British TV Shows, Kids' TV",TV-Y,2019,Ricky Zoom,TV Show,4028925,948071,-3080854,Asia,No
7097,1059,2021-04-15,Japan,Ryuichi Hiroki,143 min,"Dramas, International Movies, LGBTQ Movies",TV-MA,2021,Ride or Die,Movie,1734829,2689939,955110,Asia,Yes
1753,1060,2021-04-15,Japan,Not Given,2 Seasons,"Anime Series, Kids' TV",TV-Y7,2003,Sonic X,TV Show,4189494,841792,-3347702,Asia,No
7209,1061,2021-04-15,United States,Paul Thomas Anderson,137 min,"Dramas, Independent Movies",R,2012,The Master,Movie,1671701,4370823,2699122,North America,Yes
3767,1062,2021-04-15,United States,One9,75 min,"Documentaries, Music & Musicals",TV-MA,2014,Time Is Illmatic,Movie,3275965,3395545,119580,North America,Yes
3620,1063,2021-04-15,Not Given,Adriano Rudiman,71 min,"Documentaries, International Movies, Music & Musicals",TV-14,2020,Wave of Cinema: One Day We'll Talk About Today,Movie,3339581,3591180,251599,Unknown,Yes
6899,1064,2021-04-15,United States,Luis Valdez,103 min,"Cult Movies, Dramas, Music & Musicals",R,1981,Zoot Suit,Movie,1845958,4482049,2636091,North America,Yes
3348,1065,2021-04-14,Pakistan,Not Given,1 Season,"International TV Shows, TV Dramas",TV-PG,2015,Ajaibnya Cinta,TV Show,3456027,1234825,-2221202,Asia,No
679,1066,2021-04-14,United States,Not Given,1 Season,TV Comedies,TV-14,2021,Dad Stop Embarrassing Me!,TV Show,4857126,2082862,-2774264,North America,No
6562,1067,2021-04-14,Italy,Not Given,1 Season,"British TV Shows, International TV Shows, TV Dramas",TV-MA,2021,Fate: The Winx Saga,TV Show,1993554,1379645,-613909,Europe,No
4672,1068,2021-09-05,India,Lijo Jose Pellissery,128 min,"Action & Adventure, Comedies, Dramas",TV-14,2017,Angamaly Diaries,Movie,2861213,5820244,2959031,Asia,Yes
826,1069,2021-04-14,United States,Not Given,6 Seasons,"TV Dramas, TV Thrillers",TV-MA,2018,House of Cards,TV Show,4746840,1748774,-2998066,North America,No
3360,1070,2021-04-14,United States,Not Given,1 Season,"Reality TV, Romantic TV Shows",TV-14,2020,Indian Matchmaking,TV Show,3448140,2111680,-1336460,North America,No
8641,1071,2021-04-14,United States,Not Given,1 Season,"Crime TV Shows, Docuseries",TV-MA,2020,Jeffrey Epstein: Filthy Rich,TV Show,520162,1452779,932617,North America,Yes
5446,1072,2021-04-14,South Korea,Not Given,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-14,2021,Law School,TV Show,2515469,2093821,-421648,Asia,No
176,1073,2021-04-14,United States,Not Given,1 Season,"TV Comedies, TV Dramas",TV-MA,2019,Living with Yourself,TV Show,5399457,1623678,-3775779,North America,No
2411,1074,2021-04-14,South Korea,Not Given,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-MA,2016,Signal,TV Show,3876829,1930081,-1946748,Asia,No
5161,1075,2021-04-14,Canada,Not Given,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",TV-MA,2019,Slasher,TV Show,2647942,1734566,-913376,North America,No
3131,1076,2021-04-14,China,Cheng Wei-hao,130 min,"Dramas, International Movies, Thrillers",TV-MA,2021,The Soul,Movie,3554676,2694972,-859704,Asia,No
6623,1077,2021-04-14,Thailand,Pass Patthanakumjon,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",TV-MA,2020,The Underclass,TV Show,1967672,1475752,-491920,Asia,No
7913,1078,2021-04-14,United States,Not Given,1 Season,"Docuseries, Science & Nature TV",TV-MA,2019,Unnatural Selection,TV Show,1245950,1640277,394327,North America,Yes
7214,1079,2021-09-05,United States,Not Given,5 Seasons,"Kids' TV, TV Comedies",TV-G,2021,Bunk'd,TV Show,1667871,2023955,356084,North America,Yes
6673,1080,2021-04-14,India,Buchi Babu Sana,145 min,"Dramas, International Movies, Romantic Movies",TV-14,2020,Uppena,Movie,1948232,3603232,1655000,Asia,Yes
2686,1081,2021-04-14,United States,Fredrick Munk,84 min,Documentaries,TV-MA,2021,Why Did You Kill Me?,Movie,3756104,5856654,2100550,North America,Yes
6493,1082,2021-04-13,India,Suhas Kadav,84 min,"Children & Family Movies, Music & Musicals",TV-Y7,2017,Motu Patlu in Hong Kong: Kung Fu Kings 3,Movie,2022212,2389601,367389,Asia,Yes
2348,1083,2021-04-13,India,Suhas Kadav,77 min,"Children & Family Movies, Comedies, Music & Musicals",TV-Y7,2018,Motu Patlu in the City of Gold,Movie,3908078,2386739,-1521339,Asia,No
3766,1084,2021-04-13,India,Suhas Kadav,86 min,"Children & Family Movies, Music & Musicals",TV-Y7,2018,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Movie,3275973,2385951,-890022,Asia,No
7917,1085,2021-04-13,India,Suhas Kadav,79 min,Children & Family Movies,TV-Y7,2019,Motu Patlu the Superheroes – Super Villains from Mars,Movie,1245395,2379588,1134193,Asia,Yes
3121,1086,2021-04-13,United States,"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon",1 Season,Docuseries,TV-PG,2021,My Love: Six Stories of True Love,TV Show,3558860,1067726,-2491134,North America,No
8643,1087,2021-04-13,India,Suhas Kadav,80 min,Children & Family Movies,TV-Y7,2018,Shiva VS Autobots,Movie,516155,2386352,1870197,Asia,Yes
8121,1088,2021-04-13,India,Suhas Kadav,81 min,Children & Family Movies,TV-Y7,2019,Shiva: Journey to Plunotaria,Movie,1089367,2379504,1290137,Asia,Yes
2303,1089,2021-04-13,India,Suhas Kadav,78 min,Children & Family Movies,TV-Y,2017,Shiva: The Secret World Of Vedas City,Movie,3926056,2439395,-1486661,Asia,No
4180,1090,2021-09-04,United States,David de Vos,90 min,"Children & Family Movies, Dramas",G,2018,A Champion Heart,Movie,3091793,5819029,2727236,North America,Yes
1095,1091,2021-04-13,Israel,Not Given,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",TV-PG,2020,The Baker and the Beauty,TV Show,4567599,1107544,-3460055,Asia,No
6382,1092,2021-04-12,China,Zhao Ji,118 min,"Action & Adventure, Anime Features, International Movies",TV-14,2021,New Gods: Nezha Reborn,Movie,2076583,3581130,1504547,Asia,Yes
1687,1093,2021-04-12,United States,Not Given,4 Seasons,"Kids' TV, TV Comedies",TV-G,2018,"Nicky, Ricky, Dicky & Dawn",TV Show,4229777,2045095,-2184682,North America,No
4707,1094,2021-04-11,Pakistan,Not Given,1 Season,"International TV Shows, Reality TV",TV-14,2021,Don't be the First one,TV Show,2842568,5752716,2910148,Asia,Yes
6007,1095,2021-04-10,United States,Jamie Babbit,102 min,Comedies,R,2020,The Stand-In,Movie,2260700,4195058,1934358,North America,Yes
2181,1096,2021-04-09,China,Not Given,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",TV-14,2020,Heaven Official's Blessing,TV Show,3982702,2135075,-1847627,Asia,No
3036,1097,2021-04-09,South Korea,Park Hoon-jung,132 min,"Dramas, International Movies",TV-MA,2021,Night in Paradise,Movie,3595879,2683372,-912507,Asia,No
746,1098,2021-04-09,Nigeria,Dare Olaitan,108 min,"Dramas, International Movies, Thrillers",TV-MA,2016,Ojukokoro: Greed,Movie,4804560,3274372,-1530188,Africa,No
4738,1099,2021-04-09,India,Hardik Mehta,133 min,"Comedies, Horror Movies, International Movies",TV-14,2021,Roohi,Movie,2829594,3578046,748452,Asia,Yes
7084,1100,2021-04-09,United States,Ben Falcone,107 min,"Action & Adventure, Comedies",PG-13,2021,Thunder Force,Movie,1743560,4493507,2749947,North America,Yes
5520,1101,2021-09-03,Australia,Not Given,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",TV-G,2021,Dive Club,TV Show,2483944,2026770,-457174,Oceania,No
6993,1102,2021-04-09,United States,"Travon Free, Martin Desmond Roe",32 min,Dramas,TV-MA,2021,Two Distant Strangers,Movie,1790161,2679922,889761,North America,Yes
92,1103,2021-04-08,Indonesia,Angga Dwimas Sasongko,78 min,"Dramas, International Movies, Romantic Movies",TV-PG,2020,Story of Kale: When Someone's in Love,Movie,5557608,2472469,-3085139,Asia,No
8285,1104,2021-04-08,Japan,Not Given,1 Season,"Anime Series, International TV Shows",TV-MA,2021,The Way of the Househusband,TV Show,927251,1375484,448233,Asia,Yes
2761,1105,2021-04-07,Pakistan,Not Given,55 min,"Documentaries, Music & Musicals",TV-PG,2021,Dolly Parton: A MusiCares Tribute,Movie,3725374,5975312,2249938,Asia,Yes
3041,1106,2021-04-07,India,Not Given,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows",TV-14,2021,The Big Day,TV Show,3594947,2099859,-1495088,Asia,No
956,1107,2021-04-07,Pakistan,Not Given,1 Season,"Reality TV, Romantic TV Shows",TV-MA,2021,The Wedding Coach,TV Show,4658236,5751270,1093034,Asia,Yes
948,1108,2021-04-07,Pakistan,Not Given,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",TV-MA,2021,This Is a Robbery: The World's Biggest Art Heist,TV Show,4664592,5750293,1085701,Asia,Yes
6263,1109,2021-04-06,Not Given,Steve Rolston,92 min,"Children & Family Movies, Comedies",TV-Y7,2021,The Last Kids on Earth: Happy Apocalypse to You,Movie,2129705,2368424,238719,Unknown,Yes
1003,1110,2021-04-05,United States,Shalini Kantayya,86 min,Documentaries,TV-MA,2020,Coded Bias,Movie,4625209,2702795,-1922414,North America,No
3080,1111,2021-04-05,India,Madonne Ashwin,140 min,"Comedies, Dramas, International Movies",TV-14,2021,Mandela,Movie,3577426,3577577,151,Asia,Yes
752,1112,2021-09-24,Pakistan,Not Given,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV-MA,2021,"Vendetta: Truth, Lies and The Mafia",TV Show,4795362,1368333,-3427029,Asia,No
6951,1113,2021-09-03,Spain,Not Given,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2021,La casa de papel,TV Show,1811007,1356033,-454974,Europe,No
5581,1114,2021-04-04,Cameroon,Enah Johnscott,143 min,"Dramas, International Movies",TV-MA,2020,The Fisherman's Diary,Movie,2456087,2788497,332410,Africa,Yes
8314,1115,2021-04-04,United States,Braden R. Duemmler,88 min,"Horror Movies, Thrillers",TV-MA,2020,What Lies Below,Movie,902772,2701340,1798568,North America,Yes
3730,1116,2021-04-03,United States,Cal Brunker,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",PG,2013,Escape from Planet Earth,Movie,3290396,4784877,1494481,North America,Yes
5092,1117,2021-04-02,United States,Steve Pink,93 min,Comedies,PG-13,2006,Accepted,Movie,2675762,4657273,1981511,North America,Yes
7764,1118,2021-04-02,China,Xiao Feng,97 min,"Action & Adventure, Dramas, International Movies",R,2018,Air Strike,Movie,1342615,4228609,2885994,Asia,Yes
2018,1119,2021-04-02,United States,Vince Marcello,94 min,"Children & Family Movies, Comedies, Dramas",TV-Y,2012,An American Girl: McKenna Shoots for the Stars,Movie,4057768,2452377,-1605391,North America,No
7933,1120,2021-04-02,United Kingdom,Ricky Staub,112 min,"Dramas, Independent Movies",R,2021,Concrete Cowboy,Movie,1229094,4174446,2945352,Europe,Yes
2571,1121,2021-04-02,United States,"Patrick Durham, Paul G. Volk",100 min,Action & Adventure,R,2019,Cross: Rise of the Villains,Movie,3812432,4211309,398877,North America,Yes
982,1122,2021-04-02,Nigeria,BB Sasore,120 min,"Dramas, Faith & Spirituality, International Movies",TV-MA,2018,God Calling,Movie,4639501,3007727,-1631774,Africa,No
7452,1123,2021-04-02,India,Naseef Yusuf Izuddin,91 min,"International Movies, Thrillers",TV-MA,2021,Irul,Movie,1535035,2691596,1156561,Asia,Yes
7997,1124,2021-09-03,Not Given,"Luis Alfaro, Javier Gómez Santander",1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",TV-MA,2021,Money Heist: From Tokyo to Berlin,TV Show,1176936,5785933,4608997,Unknown,Yes
3341,1125,2021-04-02,Netherlands,"Appie Boudellah, Aram van de Rest",98 min,"Comedies, International Movies, Romantic Movies",TV-MA,2021,Just Say Yes,Movie,3459666,2686859,-772807,Europe,No
4679,1126,2021-04-02,France,Sylvie Verheyde,113 min,"Dramas, International Movies",TV-MA,2021,Madame Claude,Movie,2859787,2694369,-165418,Europe,No
8114,1127,2021-04-02,United States,Nick Moore,98 min,"Comedies, Romantic Movies",PG-13,2008,Wild Child,Movie,1094780,4634197,3539417,North America,Yes
5327,1128,2021-04-02,United States,Alex Zamm,91 min,"Children & Family Movies, Comedies",PG,2017,Woody Woodpecker,Movie,2568883,4755135,2186252,North America,Yes
841,1129,2021-04-01,United States,Roland Emmerich,158 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2009,2012,Movie,4735723,4625301,-110422,North America,No
1621,1130,2021-04-01,India,Rajkumar Hirani,164 min,"Comedies, Dramas, International Movies",PG-13,2009,3 Idiots,Movie,4263817,4632829,369012,Asia,Yes
2220,1131,2021-04-01,India,Rajesh Mapuskar,133 min,"Comedies, International Movies, Sports Movies",TV-PG,2012,Ferrari Ki Sawaari,Movie,3963955,2627579,-1336376,Asia,No
3066,1132,2021-04-01,Pakistan,Not Given,1 Season,"Docuseries, International TV Shows",TV-PG,2020,Glimpses of a Future,TV Show,3583367,5749539,2166172,Asia,Yes
3653,1133,2021-04-01,Lebanon,Lina Al Abed,75 min,"Documentaries, International Movies",TV-PG,2019,Ibrahim a Fate to Define,Movie,3320281,2493627,-826654,Asia,No
4021,1134,2021-04-01,United States,James Wan,103 min,"Horror Movies, Thrillers",PG-13,2010,Insidious,Movie,3161129,4619386,1458257,North America,Yes
391,1135,2021-09-03,United States,Not Given,1 Season,Kids' TV,TV-Y,2021,Sharkdog,TV Show,5130056,880280,-4249776,North America,No
6110,1136,2021-04-01,United States,David Hackl,90 min,"Action & Adventure, Horror Movies",R,2015,Into the Grizzly Maze,Movie,2207528,4304885,2097357,North America,Yes
3376,1137,2021-04-01,Japan,Takeshi Nozue,116 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2016,Kingsglaive: Final Fantasy XV,Movie,3442247,4555345,1113098,Asia,Yes
1761,1138,2021-04-01,United States,Robert Luketic,96 min,"Comedies, Romantic Movies",PG-13,2001,Legally Blonde,Movie,4187049,4686254,499205,North America,Yes
949,1139,2021-04-01,India,Subhash Kapoor,121 min,"Dramas, International Movies",TV-14,2020,Madam Chief Minister,Movie,4664576,3608404,-1056172,Asia,No
5367,1140,2021-04-01,Uruguay,Not Given,2 Seasons,"Docuseries, International TV Shows, Science & Nature TV",TV-G,2021,Magical Andes,TV Show,2546915,2022636,-524279,South America,No
3292,1141,2021-04-01,United States,Ringo Lam,101 min,Action & Adventure,R,1996,Maximum Risk,Movie,3477264,4465934,988670,North America,Yes
6796,1142,2021-04-01,United Kingdom,Not Given,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,2017,Murder Maps,TV Show,1891507,1876949,-14558,Europe,No
5245,1143,2021-04-01,United States,George Cukor,173 min,"Classic Movies, Music & Musicals",G,1964,My Fair Lady,Movie,2606603,4948657,2342054,North America,Yes
2176,1144,2021-04-01,United States,Not Given,2 Seasons,"Reality TV, TV Comedies, TV Horror",TV-MA,2021,Prank Encounters,TV Show,3984751,1325453,-2659298,North America,No
6400,1145,2021-04-01,United States,Tony Giglio,89 min,"Action & Adventure, International Movies",R,2017,S.W.A.T.: Under Siege,Movie,2062498,4239930,2177432,North America,Yes
7899,1146,2021-09-03,United States,Sara Colangelo,119 min,Dramas,PG-13,2021,Worth,Movie,1255638,5826734,4571096,North America,Yes
3224,1147,2021-04-01,United Kingdom,Not Given,2 Seasons,"British TV Shows, Docuseries, International TV Shows",TV-PG,2016,Secrets of Great British Castles,TV Show,3513256,1197520,-2315736,Europe,No
7602,1148,2021-04-01,Not Given,Hidenori Inoue,182 min,"Action & Adventure, Dramas, International Movies",TV-14,2017,Seven Souls in the Skull Castle: Season Bird,Movie,1446786,3798871,2352085,Unknown,Yes
7002,1149,2021-04-01,Japan,Hidenori Inoue,181 min,"Action & Adventure, Dramas, International Movies",TV-14,2017,Seven Souls in the Skull Castle: Season Flower,Movie,1786222,3804581,2018359,Asia,Yes
6299,1150,2021-04-01,Not Given,Hidenori Inoue,185 min,"Action & Adventure, Dramas, International Movies",TV-14,2017,Seven Souls in the Skull Castle: Season Wind,Movie,2110777,3798693,1687916,Unknown,Yes
6730,1151,2021-04-01,United States,Don Michael Paul,99 min,Action & Adventure,R,2016,Sniper: Ghost Shooter,Movie,1927583,4265609,2338026,North America,Yes
5514,1152,2021-04-01,United States,"Shinji Aramaki, Masaru Matsumoto",88 min,"Action & Adventure, Sci-Fi & Fantasy",R,2017,Starship Troopers: Traitor of Mars,Movie,2487493,4240758,1753265,North America,Yes
3086,1153,2021-04-01,United States,John Luessenhop,107 min,Action & Adventure,PG-13,2010,Takers,Movie,3575183,4617338,1042155,North America,Yes
8055,1154,2021-04-01,Indonesia,"Hanung Bramantyo, Pandu Adjisurya",114 min,"Dramas, International Movies, Romantic Movies",TV-14,2021,Tersanjung the Movie,Movie,1135241,3576002,2440761,Asia,Yes
554,1155,2021-04-01,Egypt,Bashir El Deek,96 min,"Action & Adventure, International Movies, Music & Musicals",TV-PG,2019,The Knight and the Princess,Movie,4959832,2499721,-2460111,Africa,No
2121,1156,2021-04-01,United Kingdom,Roman Polański,149 min,"Dramas, Independent Movies, International Movies",R,2002,The Pianist,Movie,4008214,4442824,434610,Europe,Yes
